date,year,quarter,month,month_number,week,day,day_name
2021-01-01,2021,Q1,January,1,53,1,Friday
2021-01-02,2021,Q1,January,1,53,2,Saturday
2021-01-03,2021,Q1,January,1,53,3,Sunday
2021-01-04,2021,Q1,January,1,1,4,Monday
2021-01-05,2021,Q1,January,1,1,5,Tuesday
2021-01-06,2021,Q1,January,1,1,6,Wednesday
2021-01-07,2021,Q1,January,1,1,7,Thursday
2021-01-08,2021,Q1,January,1,1,8,Friday
2021-01-09,2021,Q1,January,1,1,9,Saturday
2021-01-10,2021,Q1,January,1,1,10,Sunday
2021-01-11,2021,Q1,January,1,2,11,Monday
2021-01-12,2021,Q1,January,1,2,12,Tuesday
2021-01-13,2021,Q1,January,1,2,13,Wednesday
2021-01-14,2021,Q1,January,1,2,14,Thursday
2021-01-15,2021,Q1,January,1,2,15,Friday
2021-01-16,2021,Q1,January,1,2,16,Saturday
2021-01-17,2021,Q1,January,1,2,17,Sunday
2021-01-18,2021,Q1,January,1,3,18,Monday
2021-01-19,2021,Q1,January,1,3,19,Tuesday
2021-01-20,2021,Q1,January,1,3,20,Wednesday
2021-01-21,2021,Q1,January,1,3,21,Thursday
2021-01-22,2021,Q1,January,1,3,22,Friday
2021-01-23,2021,Q1,January,1,3,23,Saturday
2021-01-24,2021,Q1,January,1,3,24,Sunday
2021-01-25,2021,Q1,January,1,4,25,Monday
2021-01-26,2021,Q1,January,1,4,26,Tuesday
2021-01-27,2021,Q1,January,1,4,27,Wednesday
2021-01-28,2021,Q1,January,1,4,28,Thursday
2021-01-29,2021,Q1,January,1,4,29,Friday
2021-01-30,2021,Q1,January,1,4,30,Saturday
2021-01-31,2021,Q1,January,1,4,31,Sunday
2021-02-01,2021,Q1,February,2,5,1,Monday
2021-02-02,2021,Q1,February,2,5,2,Tuesday
2021-02-03,2021,Q1,February,2,5,3,Wednesday
2021-02-04,2021,Q1,February,2,5,4,Thursday
2021-02-05,2021,Q1,February,2,5,5,Friday
2021-02-06,2021,Q1,February,2,5,6,Saturday
2021-02-07,2021,Q1,February,2,5,7,Sunday
2021-02-08,2021,Q1,February,2,6,8,Monday
2021-02-09,2021,Q1,February,2,6,9,Tuesday
2021-02-10,2021,Q1,February,2,6,10,Wednesday
