product_id,product_name,category,subcategory,brand,unit_cost,unit_price,demand_weight
PRD-1001,Noise Cables & Adapter V23,Electronics,Cables & Adapters,Noise,979.51,1469.0,1.45
PRD-1002,Zebronics Cables & Adapter V37,Electronics,Cables & Adapters,Zebronics,1041.95,1619.0,1.45
PRD-1003,Zebronics Wearables & Smartwatche V99,Electronics,Wearables & Smartwatches,Zebronics,659.86,909.0,1.45
PRD-1004,JBL Smart Home Device V10,Electronics,Smart Home Devices,JBL,1318.73,1789.0,1.45
PRD-1005,JBL Wearables & Smartwatche V53,Electronics,Wearables & Smartwatches,JBL,489.91,649.0,1.45
PRD-1006,Noise Audio & Headphone V43,Electronics,Audio & Headphones,Noise,530.71,779.0,1.45
PRD-1007,OnePlus Audio & Headphone V80,Electronics,Audio & Headphones,OnePlus,808.12,1179.0,1.45
PRD-1008,SanDisk Mobile Accessorie V18,Electronics,Mobile Accessories,SanDisk,218.15,329.0,1.45
PRD-1009,Realme Audio & Headphone V22,Electronics,Audio & Headphones,Realme,400.28,539.0,1.45
PRD-1010,Logitech Computer Peripheral V55,Electronics,Computer Peripherals,Logitech,718.22,1089.0,1.45
PRD-1011,Logitech Wearables & Smartwatche V91,Electronics,Wearables & Smartwatches,Logitech,284.72,439.0,1.45
PRD-1012,Zebronics Wearables & Smartwatche V91,Electronics,Wearables & Smartwatches,Zebronics,177.55,259.0,1.45
PRD-1013,Zebronics Cables & Adapter V17,Electronics,Cables & Adapters,Zebronics,1112.21,1519.0,1.45
PRD-1014,Boat Wearables & Smartwatche V82,Electronics,Wearables & Smartwatches,Boat,219.65,339.0,1.45
PRD-1015,Portronics Cables & Adapter V92,Electronics,Cables & Adapters,Portronics,1267.73,1699.0,1.45
PRD-1016,Sony Computer Peripheral V43,Electronics,Computer Peripherals,Sony,501.52,709.0,1.45
PRD-1017,SanDisk Cables & Adapter V27,Electronics,Cables & Adapters,SanDisk,634.92,929.0,1.45
PRD-1018,OnePlus Smart Home Device V90,Electronics,Smart Home Devices,OnePlus,815.79,1249.0,1.45
PRD-1019,JBL Wearables & Smartwatche V69,Electronics,Wearables & Smartwatches,JBL,568.49,799.0,1.45
PRD-1020,Logitech Smart Home Device V24,Electronics,Smart Home Devices,Logitech,320.05,499.0,1.45
PRD-1021,Zebronics Cables & Adapter V47,Electronics,Cables & Adapters,Zebronics,319.31,469.0,1.45
PRD-1022,Sony Computer Peripheral V43,Electronics,Computer Peripherals,Sony,871.02,1169.0,1.45
PRD-1023,Sony Smart Home Device V91,Electronics,Smart Home Devices,Sony,442.61,619.0,1.45
PRD-1024,SanDisk Smart Home Device V77,Electronics,Smart Home Devices,SanDisk,1034.58,1569.0,1.45
PRD-1025,SanDisk Audio & Headphone V49,Electronics,Audio & Headphones,SanDisk,420.08,559.0,1.45
PRD-1026,Boat Wearables & Smartwatche V72,Electronics,Wearables & Smartwatches,Boat,1148.88,1769.0,1.45
PRD-1027,Zebronics Audio & Headphone V80,Electronics,Audio & Headphones,Zebronics,166.59,239.0,1.45
PRD-1028,Logitech Wearables & Smartwatche V79,Electronics,Wearables & Smartwatches,Logitech,709.62,939.0,1.45
PRD-1029,Realme Cables & Adapter V57,Electronics,Cables & Adapters,Realme,244.28,339.0,1.45
PRD-1030,Zebronics Computer Peripheral V12,Electronics,Computer Peripherals,Zebronics,459.21,709.0,1.45
PRD-1031,Zebronics Smart Home Device V90,Electronics,Smart Home Devices,Zebronics,920.25,1419.0,1.45
PRD-1032,Realme Audio & Headphone V75,Electronics,Audio & Headphones,Realme,835.29,1229.0,1.45
PRD-1033,Logitech Wearables & Smartwatche V83,Electronics,Wearables & Smartwatches,Logitech,176.43,269.0,1.45
PRD-1034,OnePlus Smart Home Device V22,Electronics,Smart Home Devices,OnePlus,1149.69,1669.0,1.45
PRD-1035,JBL Audio & Headphone V16,Electronics,Audio & Headphones,JBL,609.06,819.0,1.45
PRD-1036,Noise Cables & Adapter V23,Electronics,Cables & Adapters,Noise,1419.88,1929.0,1.45
PRD-1037,Realme Wearables & Smartwatche V45,Electronics,Wearables & Smartwatches,Realme,1138.84,1649.0,1.45
PRD-1038,Realme Computer Peripheral V80,Electronics,Computer Peripherals,Realme,168.76,229.0,1.45
PRD-1039,Boat Audio & Headphone V21,Electronics,Audio & Headphones,Boat,249.65,389.0,1.45
PRD-1040,Sony Wearables & Smartwatche V17,Electronics,Wearables & Smartwatches,Sony,638.89,859.0,1.45
PRD-1041,JBL Wearables & Smartwatche V68,Electronics,Wearables & Smartwatches,JBL,1193.63,1589.0,1.45
PRD-1042,JBL Mobile Accessorie V94,Electronics,Mobile Accessories,JBL,329.57,449.0,1.45
PRD-1043,OnePlus Cables & Adapter V84,Electronics,Cables & Adapters,OnePlus,1133.61,1499.0,1.45
PRD-1044,Zebronics Cables & Adapter V71,Electronics,Cables & Adapters,Zebronics,974.84,1509.0,1.45
PRD-1045,Zebronics Smart Home Device V33,Electronics,Smart Home Devices,Zebronics,1402.52,2159.0,1.45
PRD-1046,SanDisk Audio & Headphone V82,Electronics,Audio & Headphones,SanDisk,1417.52,2059.0,1.45
PRD-1047,SanDisk Wearables & Smartwatche V84,Electronics,Wearables & Smartwatches,SanDisk,655.1,949.0,1.45
