transaction_id,order_id,order_date,customer_id,product_id,quantity,unit_price,discount,sales_amount,cost_amount,profit,payment_method,region_id
TXN-100001,ORD-10001,2024-06-15,CUST-00001,PRD-1834,1,270.0,0.05,256.5,129.84,126.66,Credit Card,REG-04
TXN-100002,ORD-10001,2024-06-15,CUST-00001,PRD-1967,1,120.0,0.05,114.0,73.98,40.02,Credit Card,REG-04
TXN-100003,ORD-10002,2024-12-02,CUST-00002,PRD-1851,3,110.0,0.05,313.5,144.78,168.72,UPI,REG-05
TXN-100004,ORD-10002,2024-12-02,CUST-00002,PRD-1638,1,639.0,0.05,607.05,343.83,263.22,UPI,REG-05
TXN-100005,ORD-10002,2024-12-02,CUST-00002,PRD-1496,1,540.0,0.05,513.0,231.34,281.66,UPI,REG-05
TXN-100006,ORD-10003,2024-10-04,CUST-00003,PRD-1745,1,1100.0,0.15,935.0,686.26,248.74,EMI / PayLater,REG-01
TXN-100007,ORD-10003,2024-10-04,CUST-00003,PRD-1357,1,230.0,0.05,218.5,133.6,84.9,EMI / PayLater,REG-01
TXN-100008,ORD-10003,2024-10-04,CUST-00003,PRD-1951,1,300.0,0.15,255.0,205.63,49.37,EMI / PayLater,REG-01
TXN-100009,ORD-10003,2024-10-04,CUST-00003,PRD-1700,1,1090.0,0.0,1090.0,712.08,377.92,EMI / PayLater,REG-01
TXN-100010,ORD-10004,2025-09-05,CUST-00004,PRD-1729,1,260.0,0.0,260.0,153.56,106.44,UPI,REG-02
TXN-100011,ORD-10004,2025-09-05,CUST-00004,PRD-1521,1,520.0,0.05,494.0,257.38,236.62,UPI,REG-02
TXN-100012,ORD-10004,2025-09-05,CUST-00004,PRD-2011,2,230.0,0.0,460.0,297.7,162.3,UPI,REG-02
TXN-100013,ORD-10005,2025-02-23,CUST-00005,PRD-1219,1,629.0,0.05,597.55,348.48,249.07,Net Banking,REG-03
TXN-100014,ORD-10005,2025-02-23,CUST-00005,PRD-1347,1,690.0,0.1,621.0,368.11,252.89,Net Banking,REG-03
TXN-100015,ORD-10005,2025-02-23,CUST-00005,PRD-1849,2,120.0,0.05,228.0,130.82,97.18,Net Banking,REG-03
TXN-100016,ORD-10006,2025-06-08,CUST-00005,PRD-1471,1,260.0,0.0,260.0,102.75,157.25,Credit Card,REG-03
TXN-100017,ORD-10006,2025-06-08,CUST-00005,PRD-2016,2,130.0,0.05,247.0,156.78,90.22,Credit Card,REG-03
TXN-100018,ORD-10006,2025-06-08,CUST-00005,PRD-1312,1,469.0,0.05,445.55,279.71,165.84,Credit Card,REG-03
TXN-100019,ORD-10006,2025-06-08,CUST-00005,PRD-1334,2,719.0,0.15,1222.3,682.68,539.62,Credit Card,REG-03
TXN-100020,ORD-10007,2025-11-29,CUST-00006,PRD-2015,2,240.0,0.05,456.0,347.6,108.4,Debit Card,REG-04
TXN-100021,ORD-10007,2025-11-29,CUST-00006,PRD-1439,3,390.0,0.1,1053.0,606.06,446.94,Debit Card,REG-04
TXN-100022,ORD-10008,2025-11-11,CUST-00007,PRD-1498,2,470.0,0.05,893.0,530.82,362.18,UPI,REG-03
TXN-100023,ORD-10008,2025-11-11,CUST-00007,PRD-1298,1,929.0,0.1,836.1,495.24,340.86,UPI,REG-03
TXN-100024,ORD-10008,2025-11-11,CUST-00007,PRD-1243,1,599.0,0.05,569.05,355.76,213.29,UPI,REG-03
TXN-100025,ORD-10009,2025-03-27,CUST-00008,PRD-1670,1,389.0,0.0,389.0,239.74,149.26,Debit Card,REG-02
TXN-100026,ORD-10009,2025-03-27,CUST-00008,PRD-1102,1,429.0,0.0,429.0,313.39,115.61,Debit Card,REG-02
TXN-100027,ORD-10009,2025-03-27,CUST-00008,PRD-2002,1,230.0,0.15,195.5,138.55,56.95,Debit Card,REG-02
TXN-100028,ORD-10009,2025-03-27,CUST-00008,PRD-1852,2,340.0,0.0,680.0,313.58,366.42,Debit Card,REG-02
TXN-100029,ORD-10009,2025-03-27,CUST-00008,PRD-1162,1,2159.0,0.05,2051.05,1467.77,583.28,Debit Card,REG-02
TXN-100030,ORD-10010,2024-07-29,CUST-00009,PRD-1724,1,320.0,0.1,288.0,205.23,82.77,Debit Card,REG-04
TXN-100031,ORD-10010,2024-07-29,CUST-00009,PRD-1601,1,829.0,0.05,787.55,493.01,294.54,Debit Card,REG-04
TXN-100032,ORD-10010,2024-07-29,CUST-00009,PRD-1157,1,739.0,0.0,739.0,525.01,213.99,Debit Card,REG-04
TXN-100033,ORD-10011,2025-03-03,CUST-00010,PRD-1240,1,1029.0,0.0,1029.0,581.5,447.5,UPI,REG-01
TXN-100034,ORD-10011,2025-03-03,CUST-00010,PRD-1378,1,1090.0,0.0,1090.0,731.3,358.7,UPI,REG-01
TXN-100035,ORD-10011,2025-03-03,CUST-00010,PRD-1732,1,1190.0,0.1,1071.0,700.0,371.0,UPI,REG-01
TXN-100036,ORD-10012,2025-09-07,CUST-00011,PRD-1648,1,749.0,0.15,636.65,416.1,220.55,UPI,REG-02
TXN-100037,ORD-10012,2025-09-07,CUST-00011,PRD-1517,1,520.0,0.0,520.0,261.18,258.82,UPI,REG-02
TXN-100038,ORD-10013,2025-04-28,CUST-00012,PRD-1835,1,360.0,0.2,288.0,182.51,105.49,Credit Card,REG-03
TXN-100039,ORD-10013,2025-04-28,CUST-00012,PRD-1819,1,300.0,0.1,270.0,125.52,144.48,Credit Card,REG-03
TXN-100040,ORD-10013,2025-04-28,CUST-00012,PRD-1621,1,719.0,0.0,719.0,416.39,302.61,Credit Card,REG-03
TXN-100041,ORD-10013,2025-04-28,CUST-00012,PRD-1864,1,430.0,0.0,430.0,236.69,193.31,Credit Card,REG-03
TXN-100042,ORD-10013,2025-04-28,CUST-00012,PRD-1300,2,1029.0,0.0,2058.0,1118.0,940.0,Credit Card,REG-03
TXN-100043,ORD-10013,2025-04-28,CUST-00012,PRD-2005,1,90.0,0.0,90.0,56.27,33.73,Credit Card,REG-03
TXN-100044,ORD-10014,2025-05-24,CUST-00012,PRD-1617,1,1329.0,0.05,1262.55,650.03,612.52,UPI,REG-03
TXN-100045,ORD-10014,2025-05-24,CUST-00012,PRD-1922,1,510.0,0.15,433.5,286.48,147.02,UPI,REG-03
TXN-100046,ORD-10014,2025-05-24,CUST-00012,PRD-1534,1,700.0,0.05,665.0,351.44,313.56,UPI,REG-03
